번호,개방서비스명,소재지전화,도로명전체주소,사업장명,업태구분명,진료과목내용명
1,의원,031-356-1200,"경기도 화성시 만세구 남양읍 시청로160번길 33, 3층",생생마취통증의학과의원,의원,재활의학과 피부과 마취통증의학과 신경외과 정형외과
2,의원,031-357-2899,"경기도 화성시 만세구 서신면 바다뜰길 109, 3층",탑치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과보철과
3,의원,031-356-6233,"경기도 화성시 만세구 남양읍 시청로 113, 205호",보름한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
4,의원,031-831-3731,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-5, 301~304호",모두튼튼365의원 향남점,의원,재활의학과 마취통증의학과 신경외과 정형외과
5,의원,031-357-0405,"경기도 화성시 만세구 남양읍 남양성지로 123, 삼기프라자 201, 301호",화성연합의원,의원,가정의학과 재활의학과 비뇨의학과 피부과 마취통증의학과 정형외과 외과 내과
6,의원,031-356-5554,"경기도 화성시 만세구 남양읍 시청로 7, 604~606호",남양밝은안과의원,의원,안과
7,의원,031-8055-8970,"경기도 화성시 만세구 남양읍 시청로160번길 33, 401~405호",담다치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
8,의원,031-355-2828,"경기도 화성시 만세구 남양읍 남양로 839, 602호",서울올데이치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
9,의원,031-357-6677,"경기도 화성시 만세구 수노을중앙로 122, 엔젤리움에르메스프라자 1동 301, 302호 (새솔동)",연세맑은빛안과의원,의원,안과
10,의원,031-356-1522,"경기도 화성시 만세구 남양읍 남양로 671, 1동 1112,1113호",손이좋은소아치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
11,의원,031-357-7522,"경기도 화성시 만세구 송산면 사강로 208, 201호, 202호",바위치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
12,의원,031-360-2899,"경기도 화성시 만세구 향남읍 발안로 112, 203호, 204호(삼성프라자)",믿음플란트치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
13,의원,031-357-3477,"경기도 화성시 만세구 수노을중앙로 122, 601~604호 (새솔동)",새솔성모꽉찬정형외과의원,의원,신경과 정형외과 신경외과 마취통증의학과 재활의학과 응급의학과
14,의원,031-366-7582,"경기도 화성시 만세구 남양읍 남양성지로 143, CMS 3층",해담의원,의원,가정의학과 피부과 이비인후과 소아청소년과 내과
15,의원,031-353-1233,"경기도 화성시 만세구 향남읍 발안로 116, 중앙프라자 201호, 202호",올바른마디튼튼의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
16,의원,031-357-7511,"경기도 화성시 만세구 남양읍 남양중앙로 247, 2층",허니비한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
17,의원,031-8050-2875,"경기도 화성시 만세구 남양읍 화성시청역로 36, 408호일부,409호",서울참좋은날치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
18,의원,031-8043-2815,"경기도 화성시 만세구 우정읍 조암남로 39, 4층",서울조암치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
19,의원,031-8077-2382,"경기도 화성시 만세구 남양읍 시청로 6, 502호",남양바로한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
20,의원,031-355-2503,"경기도 화성시 만세구 남양읍 화성시청역로 7, 212동 207,208호 (화성시청역 센트럴파크스타힐스 2단지)",오케이가정의학과의원,의원,가정의학과 피부과 이비인후과 소아청소년과 산부인과 정형외과 외과 내과
21,의원,031-356-3333,"경기도 화성시 만세구 남양읍 시청로 109, 한국프라자 3층 302호",화성정신건강의학과의원,의원,정신건강의학과
22,의원,031-356-5650,"경기도 화성시 만세구 송산면 사강로 208, 대원프라자 2층 203~204호",서울척척의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
23,의원,031-8068-8272,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 대성프라자 3층 306호",리아나산부인과의원,의원,가정의학과 피부과 산부인과
24,의원,031-8043-4275,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-8, 3층 301~304호",온리원치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
25,의원,031-352-9990,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 센터프라자 2층 203~204호",프로한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
26,의원,031-356-2270,"경기도 화성시 만세구 마도면 화성로790번길 14, 2층 일부호",스마일홍치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
27,의원,031-352-1100,"경기도 화성시 만세구 향남읍 발안양감로 187, 302~304호",365향남플란트치과의원,치과의원,통합치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
28,의원,031-354-8275,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-29, 대성프라자 6층 601~606호",향남맑은내과의원,의원,내과
29,의원,031-357-2060,"경기도 화성시 만세구 남양읍 남양성지로 135, 302호",남양아이언소아청소년과의원,의원,피부과 이비인후과 소아청소년과 내과
30,의원,031-8055-7783,"경기도 화성시 만세구 남양읍 남양로 839, 4~5층",연세하이플러스의원,의원,가정의학과 재활의학과 영상의학과 비뇨의학과 피부과 이비인후과 소아청소년과 산부인과 마취통증의학과 성형외과 신경외과 정형외과 외과 신경과 내과
31,의원,031-357-7888,"경기도 화성시 만세구 남양읍 남양로 829, 404~405호",다채움피부과의원,의원,피부과
32,의원,031-8043-5853,"경기도 화성시 만세구 수노을중앙로 126, 송산나이스프라자 3층 303~304호 (새솔동)",마이퍼스트소아치과치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
33,의원,031-355-3561,"경기도 화성시 만세구 수노을중앙로 146, 204,205호 (새솔동)",몸앤장한의원 송산새솔점,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
34,의원,031-356-2112,"경기도 화성시 만세구 남양읍 현대연구소로 150, 233동 산업보건센터 3층일부호",퍼플치과의원,치과의원,치과보존과 구강병리과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과
35,의원,031-357-0033,"경기도 화성시 만세구 남양읍 남양로 829, 306호일부,307호",남양 길이비인후과의원,의원,이비인후과 소아청소년과 내과
36,의원,031-8043-2859,"경기도 화성시 만세구 남양읍 남양로 829, 308,309호",연세새솜치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
37,의원,031-353-2875,"경기도 화성시 만세구 향남읍 삼천병마로 201, 301,302,303호",향남이플란트치과의원,치과의원,치과보존과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과
38,의원,031-357-8586,"경기도 화성시 만세구 남양읍 시청로 6, 4층",바로튼튼신경외과의원,의원,가정의학과 재활의학과 비뇨의학과 이비인후과 마취통증의학과 신경외과 정형외과 외과 신경과 내과
39,의원,031-356-2835,"경기도 화성시 만세구 꽃내음1길 19-6, 301,302호 (새솔동)",새솔다온치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
40,의원,031-352-2883,"경기도 화성시 만세구 향남읍 상신하길로328번길 20, 5층",화성새로이소아치과치과의원,치과의원,치과보존과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과
41,의원,031-352-2208,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-7, 803(전체),804(일부)호",바로드림치과의원,치과의원,구강악안면외과 치과보철과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
42,의원,031-351-2879,"경기도 화성시 만세구 우정읍 3.1만세로 24, 조암농업협동조합 4층",서울참편한치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
43,의원,031-354-7501,"경기도 화성시 만세구 향남읍 발안로 107, 태성프라자 404~406호",참좋은소아청소년과의원,의원,피부과 이비인후과 소아청소년과
44,의원,031-8055-0751,"경기도 화성시 만세구 향남읍 발안로 116, 중앙프라자 402,404,405,406호",상쾌한이비인후과의원,의원,이비인후과
45,의원,031-926-2755,"경기도 화성시 만세구 수노을중앙로 136, 406~409호 (새솔동)",송산그린치과의원,치과의원,치과보존과 구강병리과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과
46,의원,031-353-2675,"경기도 화성시 만세구 향남읍 행정중앙2로 63-34, 명신프라자2 301,302호",화성의료복지사회적협동조합 모두의원,의원,내과 정형외과 이비인후과 피부과 가정의학과
47,의원,031-359-5085,"경기도 화성시 만세구 우정읍 기아자동차로 95, 117동 1층일부",기아굿모닝의원,의원,가정의학과 정형외과 외과 내과
48,의원,031-8050-0220,"경기도 화성시 만세구 향남읍 상신하길로298번길 11, 1동 303,304호",향남바른치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
49,의원,031-355-8839,"경기도 화성시 만세구 수노을중앙로 122, 401~402호 (새솔동)",변상희산부인과의원,의원,산부인과
50,의원,031-8078-8078,"경기도 화성시 만세구 꽃내음1길 19-6, 5층 (새솔동)",에스1+내과의원,의원,이비인후과 가정의학과 소아청소년과 내과
51,의원,031-355-8489,"경기도 화성시 만세구 남양읍 시청로 7, 301,302호",혜영산부인과의원,의원,가정의학과 산부인과
52,의원,031-358-8900,"경기도 화성시 만세구 우정읍 3.1만세로 16, 301호",조암한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
53,의원,031-357-7536,"경기도 화성시 만세구 마도면 화성로790번길 14, 104,105호",마도한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
54,의원,031-357-9780,"경기도 화성시 만세구 수노을중앙로 136, 401~403호 (새솔동)",미엘피부과의원,의원,피부과
55,의원,031-8043-2788,"경기도 화성시 만세구 남양읍 시청로 113, 3층 303,304,305호",우리들의행복한치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
56,의원,031-357-1897,"경기도 화성시 만세구 수노을중앙로 136, 3층 301~303호 (새솔동)",에스본한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
57,의원,031-357-8500,"경기도 화성시 만세구 향남읍 상신하길로298번길 11, 402~405호",향남에스한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
58,의원,031-486-2828,"경기도 화성시 만세구 송산면 사강로 161, 2층 201호",서울감동치과의원,치과의원,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과
59,의원,031-352-1110,"경기도 화성시 만세구 향남읍 발안로 111, 4층",멘파워비뇨의학과의원,의원,비뇨의학과 피부과
60,의원,031-8077-9871,"경기도 화성시 만세구 수노을중앙로 118, 402,403호 (새솔동)",서울바른소아청소년과의원,의원,응급의학과 가정의학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 정형외과 외과 신경과 내과
61,의원,031-355-6039,"경기도 화성시 만세구 수노을중앙로 150, 더드림프라자 3층 301,302호 (새솔동)",송산경희한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
62,의원,031-355-2854,"경기도 화성시 만세구 수노을중앙로 118, 센텀프라자 3층 302,303,304호 (새솔동)",송산수치과의원,치과의원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과
63,의원,031-831-8518,"경기도 화성시 만세구 우정읍 조암남로 39, 3층",미래의원,의원,가정의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 마취통증의학과 성형외과 정형외과 외과 내과
64,의원,031-309-5600,"경기도 화성시 만세구 남양읍 남양로 829, 406~407호",마디조아의원,의원,가정의학과 재활의학과 마취통증의학과 신경외과 정형외과
65,의원,031-8055-8813,"경기도 화성시 만세구 수노을중앙로 146, 3층 303,306,307호 (새솔동)",삼성그린정형외과의원,의원,재활의학과 마취통증의학과 신경외과 정형외과
66,의원,031-366-3677,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-1, 4층",서울리온의원,의원,가정의학과 피부과
67,의원,031-352-2799,"경기도 화성시 만세구 향남읍 발안로 111, 2층",경희청담연한의원,한의원,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과
68,의원,031-357-7515,"경기도 화성시 만세구 수노을중앙로 142, 4층 404,405호 (새솔동)",연세365소아청소년과의원,의원,이비인후과 소아청소년과 내과
69,의원,031-356-3265,"경기도 화성시 만세구 송산면 사강로 161, 2층",서울선내과의원,의원,비뇨의학과 피부과 이비인후과 소아청소년과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과
